"YEAR","MONTH","WEEK","battery down","down time"
2024,January,4,33.3636,"07h:28m:52s"
2024,January,3,36.6000,"06h:17m:49s"
2024,January,2,43.5294,"09h:15m:07s"
2024,January,1,45.6875,"09h:58m:22s"
2024,January,0,26.6957,"06h:07m:14s"
2024,February,8,37.9286,"08h:03m:56s"
2024,February,7,38.2500,"07h:49m:34s"
2024,February,6,30.6400,"06h:47m:19s"
2024,February,5,45.2667,"10h:17m:09s"
2024,February,4,34.7778,"08h:11m:10s"
2024,March,13,46.0000,"06h:47m:02s"
2024,March,12,38.8421,"08h:38m:18s"
2024,March,11,31.9500,"07h:31m:17s"
2024,March,10,44.7500,"10h:02m:49s"
2024,March,9,37.7778,"09h:06m:27s"
2024,March,8,65.6667,"13h:56m:01s"
2024,April,17,30.4444,"06h:31m:09s"
2024,April,16,34.0909,"07h:21m:24s"
2024,April,15,40.3529,"09h:07m:56s"
2024,April,14,40.1429,"08h:10m:41s"
2024,April,13,48.6364,"11h:29m:19s"
2024,May,18,31.8000,"07h:19m:47s"
2024,May,17,42.0909,"08h:56m:22s"
2023,August,35,29.5789,"05h:28m:36s"
2023,August,34,34.7200,"06h:44m:45s"
2023,August,33,25.5556,"04h:54m:42s"
2023,September,39,31.7895,"08h:09m:22s"
2023,September,38,34.3182,"07h:29m:30s"
2023,September,37,25.0000,"18h:18m:34s"
2023,September,36,35.5714,"07h:58m:30s"
2023,September,35,46.8333,"06h:06m:27s"
2023,October,44,52.2500,"13h:49m:23s"
2023,October,43,58.0000,"16h:18m:00s"
2023,October,42,41.5385,"12h:29m:28s"
2023,October,41,43.0833,"13h:34m:03s"
2023,October,40,34.5000,"06h:38m:59s"
2023,November,48,46.3636,"09h:57m:09s"
2023,November,47,39.9333,"10h:55m:44s"
2023,November,46,37.1111,"08h:28m:02s"
2023,November,45,48.9286,"11h:02m:33s"
2023,November,44,46.2222,"11h:58m:31s"
2023,December,53,72.0000,"16h:13m:28s"
2023,December,52,40.0625,"10h:05m:07s"
2023,December,51,34.6316,"08h:32m:05s"
2023,December,50,28.3500,"08h:01m:45s"
2023,December,49,29.4167,"06h:35m:47s"
2023,December,48,27.7143,"06h:26m:56s"
