"week","battery down","down time"
"2023-08 33",25.5556,17682.9630
"2023-08 34",34.7200,24285.0000
"2023-08 35",29.5789,19716.6842
"2023-09 35",46.8333,21987.3333
"2023-09 36",35.5714,28710.0952
"2023-09 37",25.0000,65914.5556
"2023-09 38",34.3182,26970.1818
"2023-09 39",31.7895,29362.8947
"2023-10 40",34.5000,23939.5417
"2023-10 41",43.0833,48843.2500
"2023-10 42",41.5385,44968.9231
"2023-10 43",58.0000,58680.9000
"2023-10 44",52.2500,49763.5000
"2023-11 44",46.2222,43111.1111
"2023-11 45",48.9286,39753.2143
"2023-11 46",37.1111,30482.0556
"2023-11 47",39.9333,39344.4000
"2023-11 48",46.3636,35829.1818
"2023-12 48",27.7143,23216.7143
"2023-12 49",29.4167,23747.9167
"2023-12 50",28.3500,28905.8000
"2023-12 51",34.6316,30725.6316
"2023-12 52",40.0625,36307.6250
"2023-12 53",72.0000,58408.0000
"2024-01 0",26.6957,22034.3043
"2024-01 1",45.6875,35902.3125
"2024-01 2",43.5294,33307.6471
"2024-01 3",36.6000,22669.3600
"2024-01 4",33.3636,26932.0909
"2024-02 4",34.7778,29470.1111
"2024-02 5",45.2667,37029.1333
"2024-02 6",30.6400,24439.0800
"2024-02 7",38.2500,28174.6000
"2024-02 8",37.9286,29036.0714
"2024-03 10",44.7500,36169.1250
"2024-03 11",31.9500,27077.3000
"2024-03 12",38.8421,31098.4737
"2024-03 13",46.0000,24422.5000
"2024-03 8",65.6667,50161.6667
"2024-03 9",37.7778,32787.2778
"2024-04 13",48.6364,41359.6364
"2024-04 14",40.1429,29441.0952
"2024-04 15",40.3529,32876.0000
"2024-04 16",34.0909,26484.0455
"2024-04 17",30.4444,23469.8889
"2024-05 17",42.0909,32182.9091
"2024-05 18",31.8000,26387.4000
